Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Polygonum sp.,91.55,1.72,7.21,47.59,8.50,4.05,1,1
Sesbania leaf,93.04,2.14,8.97,59.21,20.99,13.81,1,1
Sesbania leaf + twig,93.51,2.14,8.94,59.01,20.68,13.56,1,1
Setaria verticillata,90.98,2.01,8.43,55.65,13.47,7.79,1,1
Snowdenia polystachya,91.82,2.19,9.16,60.47,9.94,6.12,1,1
Sudan grass,93.53,2.12,8.85,58.42,12.38,7.23,1,1
Sporobolus africanus,92.45,1.78,7.45,49.18,6.30,3.19,1,1
Sporobolus indicus var. capensis,90.43,0.00,0.00,0.00,5.94,0.00,1,1
Sporobolus indicus var. pyramidalis,88.18,1.81,7.56,49.90,4.41,2.20,1,1
Brazilian stylo,92.31,1.89,7.92,52.28,14.46,8.12,1,1
Caribbean stylo (ILRI 75),90.12,1.91,7.99,52.73,15.07,8.46,1,1
Shrubby stylo (ILRI 140),90.23,1.83,7.66,50.57,14.68,8.02,1,1
Tephrosia pumila,89.61,2.17,9.09,60.00,23.14,15.33,1,1
Tetrapogon roxburghiana,92.87,1.96,8.18,54.00,7.24,3.97,1,1
Red oat grass,92.56,2.30,9.61,63.44,3.81,2.42,1,1
Trifolium bilineatum,89.13,1.99,8.34,55.05,18.18,10.82,1,1
Clover var. Trifolium cryptopodium,91.29,1.92,8.04,53.07,20.17,11.52,1,1
Clover var Trifolium decorum,93.66,2.66,11.13,73.47,19.21,14.15,1,1
Clover var Trifolium fragiferum,91.66,1.99,8.34,55.05,13.83,7.59,1,1
Clover var. Trifolium mattirolianum,89.79,1.96,8.18,54.00,19.45,11.51,1,1
Clover var. Trifolium pichisermollii,89.30,1.85,7.76,51.23,14.12,7.85,1,1
Clover var. Trifolium quartinianum,91.62,2.38,9.96,65.75,18.22,11.52,1,1
Persian clover,92.12,2.77,11.59,76.51,13.28,10.41,1,1
Clover var. Trifolium rueppellianum,91.44,2.64,11.04,72.88,19.76,14.38,1,1
Clover var. Trifolium simense,90.09,1.90,7.94,52.41,13.88,7.74,1,1
Clover var. Trifolium steudner,90.56,2.31,9.65,63.70,17.11,11.65,1,1
Clover var. Trifolium tembense,91.73,2.55,10.66,70.37,19.99,14.37,1,1
Guatemala grass,91.25,1.65,6.91,45.61,10.60,5.05,1,1
Uebelinia abyssinica,91.26,1.93,8.09,53.40,10.21,5.49,1,1
Urochloa brizantha,92.32,1.84,7.71,50.90,9.58,5.07,1,1
Urochloa decumbens,91.59,1.87,7.82,51.62,10.50,5.62,1,1
Brachiaria mutica (ILRI 18659),92.32,1.72,7.18,47.42,8.81,4.28,1,1
Brachiaria hybrid 'Cayman',90.36,1.52,6.38,42.12,6.95,2.99,1,1
Urochloa hybrid 'Mulato II',93.70,1.84,7.71,50.90,10.42,6.15,1,1
Hairy vetch,91.16,0.00,0.00,0.00,5.10,2.69,1,1
Common vetch,90.75,2.16,9.04,59.67,19.25,12.09,1,1
Winter vetch,90.87,2.21,9.26,61.13,21.82,14.01,1,1
Maize fodder,93.82,1.75,7.33,48.39,7.35,3.63,1,1
Natural pasture Hay,92.12,1.85,7.75,51.16,6.75,3.42,1,1
Natural pasture root,95.59,1.94,8.12,53.60,4.76,2.40,1,1
Saltbush (A. canescens),89.01,1.99,8.31,54.86,16.81,9.92,1,1
Saltbush (A. nummularia),83.93,2.11,8.82,58.22,20.20,12.42,1,1
Saltbush (A. rhagodioides),89.22,1.86,7.80,51.49,14.38,7.99,1,1
Saltbush (A. undulata),89.20,1.90,7.97,52.61,20.81,11.80,1,1
Neem,88.49,2.19,9.17,60.53,22.64,15.22,1,1
Balanites aegyptiaca,92.76,2.28,9.52,62.84,17.99,11.06,1,1
Buddleja polystachya,90.63,1.87,7.81,51.56,16.04,8.23,1,1
Calliandra calothyrsus,92.47,2.12,8.86,58.49,16.51,9.57,1,1
Combretum molle,90.95,2.76,11.55,76.24,15.24,12.09,1,1
Commiphora africana,92.30,2.23,9.33,61.59,12.20,7.62,1,1
Cordia africana,90.11,2.06,8.62,56.90,21.25,12.00,1,1
Cordia sinensis,90.97,2.37,9.92,65.48,18.80,12.14,1,1
Cytisus pulvinatus,91.37,2.32,9.71,64.10,15.25,9.30,1,1
Dwarf koa,90.41,2.08,8.72,57.56,16.80,9.29,1,1
Dichrostachys cinerea,92.45,2.07,8.66,57.17,14.74,8.70,1,1
Diospyros mespiliformis,93.35,2.31,9.67,63.83,9.54,6.02,1,1
Dombeya torrida,91.06,2.06,8.60,56.77,21.64,12.52,1,1
Faidherbia albida,91.54,2.30,9.63,63.57,19.66,12.02,1,1
Ficus glumosa,89.99,2.03,8.49,56.04,10.89,6.27,1,1
Ficus thonningii,91.62,2.20,9.19,60.66,11.07,6.91,1,1
Flueggea virosa,89.85,2.67,11.17,73.74,14.30,10.98,1,1
Gliricidia sepium,90.39,2.13,8.90,58.75,21.63,12.93,1,1
Grewia damine,92.06,1.96,8.22,54.26,16.34,9.24,1,1
Grewia ferruginea,93.49,2.21,9.25,61.06,11.26,6.93,1,1
Grewia tenax,93.43,2.51,10.50,69.31,11.61,8.17,1,1
Gymnanthemum amygdalinum,92.21,2.83,11.84,78.16,20.73,16.52,1,1
Gymnosporia senegalensis,92.37,2.80,11.72,77.37,14.38,11.33,1,1
Hagenia abyssinica,88.47,2.30,9.63,63.57,15.17,9.80,1,1
Lantana trifolia,92.16,2.46,10.29,67.93,17.18,11.86,1,1
Leucaena diversifolia,92.37,2.03,8.49,56.04,23.49,13.01,1,1
Leucaena leucocephala,91.01,2.33,9.76,64.43,23.15,14.83,1,1
Leucaena pallida,90.31,1.78,7.45,49.18,23.09,11.65,1,1
Moringa oleifera,89.63,2.69,11.24,74.20,23.21,17.89,1,1
Moringa stenopetala,89.62,2.81,11.76,77.63,23.32,19.03,1,1
Paulownia elongata leaf,95.51,2.08,8.71,57.50,0.00,0.00,1,1
Philenoptera laxiflora,93.06,2.08,8.70,57.43,25.82,14.88,1,1
Prunus africana,93.25,3.06,12.80,84.50,9.86,0.00,1,1
Salvadora persica,80.25,2.15,8.98,59.28,14.98,10.85,1,1
Senegalia brevispica,92.34,2.17,9.08,59.94,21.14,12.39,1,1
Senegalia senegal,92.18,2.17,9.08,59.94,18.96,11.25,1,1
Stereospermum kunthianum,91.44,2.38,9.96,65.75,14.70,9.90,1,1
Teline monspessulana,93.10,2.67,11.19,73.87,19.35,13.83,1,1
Vachellia nilotica,91.86,2.59,10.84,71.56,18.70,13.56,1,1
Vachellia seyal,91.62,2.70,11.28,74.46,16.91,12.78,1,1
Vachellia tortilis,94.27,2.28,9.56,63.11,13.73,8.37,1,1
Ziziphus spina-christi,91.65,2.58,10.79,71.23,22.48,16.42,1,1
fodder oats,92.65,2.29,9.59,63.31,10.61,7.08,1,1
Oats silage,93.03,2.21,9.25,61.06,7.13,4.36,1,1
Pigeonpea hay,91.39,1.83,7.64,50.43,15.22,7.40,1,1
Barley forage,90.74,2.25,9.41,62.12,2.95,1.74,1,1
Broken lentil,92.53,2.06,8.62,56.90,21.63,12.95,1,1
Common bean shoot,90.32,2.32,9.71,64.10,17.65,12.80,1,1
Foxtail millet forage,92.09,1.96,8.20,54.13,10.19,5.40,1,1
Triticale,87.29,1.92,8.05,53.14,6.06,3.35,1,1
Cowpea forage,90.95,2.04,8.54,56.37,20.66,14.67,1,1
Cowpea hay,91.07,2.37,9.91,65.42,20.13,13.94,1,1
Maize forage,90.24,2.29,9.58,63.24,6.06,3.91,1,1
Maize silage,90.92,2.25,9.42,62.18,6.54,4.21,1,1
Groundnut haulm ,91.48,2.28,9.56,63.11,12.58,8.15,1,1
Oats hay,91.65,1.85,7.76,51.23,7.77,4.23,1,1
Oats straw,91.89,2.23,9.32,61.52,7.27,4.45,1,1
Pigeonpea edible twigs,91.07,1.69,7.06,46.60,18.29,9.15,1,1
Pigeonpea leaf,90.58,1.94,8.12,53.60,27.82,16.74,1,1
Pigeonpea stem,91.04,1.53,6.42,42.38,11.85,5.25,1,1
Pigeonpea straw,94.21,1.91,7.99,52.74,16.53,8.43,1,1
Pearl millet straw,92.55,1.89,7.91,52.22,3.16,1.64,1,1
Chickpea stem,89.40,2.00,8.35,55.12,4.58,1.95,1,1
Chickpea straw,90.38,1.81,7.59,50.10,4.67,2.41,1,1
Finger millet straw ,90.34,1.91,8.01,52.88,3.92,2.10,1,1
Teff straw ,92.34,1.67,6.98,46.08,4.90,2.33,1,1
Soyabean straw,90.53,2.09,8.75,57.76,5.78,2.87,1,1
Barley chaff,94.09,2.46,10.29,67.93,7.94,5.35,1,1
Barley hull (unroasted),93.77,1.85,7.75,51.16,7.64,3.93,1,1
Barley stem,91.38,1.23,5.16,34.06,2.75,0.98,1,1
Barley straw,91.27,1.66,6.95,45.88,3.14,1.45,1,1
"Barley straw (soaked in ""atela"")",91.94,2.65,11.09,73.21,0.00,0.00,1,1
Lentil hull,89.93,1.94,8.12,53.60,12.08,6.15,1,1
Lentil hull with fine grain (Shana) ,92.42,2.46,10.31,68.06,32.48,23.07,1,1
Lentil stem,90.60,1.97,8.23,54.33,3.99,1.68,1,1
Lentil straw,90.67,1.97,8.23,54.33,9.16,5.14,1,1
Bean hull with fine grain (Duka),92.81,1.96,8.21,54.20,10.01,5.59,1,1
Bean hull (roasted),92.31,1.96,8.18,54.00,10.31,5.67,1,1
Bean hull (unroasted),92.31,1.97,8.25,54.46,9.72,5.35,1,1
Common bean haulms,92.12,2.29,9.58,63.24,5.42,3.46,1,1
Common bean hulls,88.54,2.18,9.12,60.20,7.36,4.20,1,1
Common bean straw,91.43,2.05,8.59,56.70,6.67,3.74,1,1
Pea hull (roasted),92.87,1.88,7.87,51.95,4.24,2.23,1,1
Pea hull (unroasted),91.96,2.53,10.58,69.84,29.11,22.18,1,1
Pea hull with fine grain (Duka),92.88,1.98,8.30,54.79,12.07,6.92,1,1
Pea straw ,89.64,1.92,8.03,53.01,6.93,3.54,1,1
Field pea hull ,91.86,2.23,9.32,61.52,11.32,6.07,1,1
Field pea leaf ,91.86,2.23,9.32,61.52,11.32,6.07,1,1
Field pea stem,90.64,1.91,8.00,52.81,4.59,2.01,1,1
Sugarcane stover ,92.21,1.60,6.68,44.10,6.96,3.21,1,1
Rye straw ,92.57,2.58,10.79,71.23,10.56,7.65,1,1
Foxtail millet stover ,92.14,2.26,9.46,62.45,4.38,2.82,1,1
Sorghum stover,91.91,2.06,8.60,56.77,6.72,3.86,1,1
Wheat straw ,2.40,1.68,7.03,46.41,3.91,1.90,1,1
"Wheat straw (soaked in ""atela"") ",92.37,2.44,10.21,67.40,0.00,0.00,1,1
Faba bean hull,90.64,2.13,8.90,58.75,11.64,7.71,1,1
Faba bean leaf,89.14,2.11,8.84,58.35,13.17,8.17,1,1
Faba bean pod,88.96,2.24,9.36,61.79,8.00,4.43,1,1
Faba bean straw ,90.14,1.67,6.99,46.14,6.45,3.02,1,1
Cowpea haulms,91.96,2.24,9.38,61.92,13.41,8.20,1,1
Cowpea pod,89.54,2.87,12.01,79.28,0.00,0.00,1,1
Cowpea stem,90.14,2.51,10.49,69.25,17.73,12.57,1,1
Maize cob,92.59,2.54,10.63,70.17,3.68,2.44,1,1
