Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Silage: Vetch-30 - Oat-70,26.5,2.1,8.8,,10.5,6.2,2,1
Silage: Vetch-40 - Oat-60,23.9,2,8.5,,9.9,5.7,2,1
Silage: Vetch-50 - Oat-50,26,2.1,8.7,,11.7,7.4,2,1
Hay: Oats,86.8,2.1,8.9,,6.1,2.1,2,1
Hay: Berseem Clover,89.7,2.1,8.6,,18.1,12.5,2,1
Hay: Fescue,82.4,2.1,8.9,,6.3,4,2,1
Hay: Alfalfa,83.5,2,8.2,,14.7,9.9,2,1
Hay: Barley,78,2.1,8.7,,9.7,5,2,1
Hay: Ryegrass,86.4,2.1,8.8,,10.3,5.6,2,1
Hay: Sorghum,83,2,8.2,,8.4,4.1,2,1
Hay: Vetch-Oat,85.6,2.1,8.8,,7.8,3.5,2,1
Concentrates: Oats,91.9,2.9,12.1,,10.6,7.6,2,1
Concentrates: Durum Wheat,90.1,3.2,13.3,,14.2,10.8,2,1
Concentrates: Soft Wheat,90.2,3.2,13.5,,12.6,10.7,2,1
Concentrates: Small Wheat,90,3.2,13.2,,15.6,12.1,2,1
Concentrates: Carob,89,2.9,12,,9.2,6.3,2,1
Concentrates: Fenugreek,90.6,3.1,12.9,,26.3,21.9,2,1
Concentrates: Fava Bean,89.6,2.9,12.1,,25.6,21.3,2,1
Concentrates: Field Bean,90.7,2.9,12,,27.3,22.8,2,1
Concentrates: Lentil,89.9,3.1,12.9,,27,22.5,2,1
Concentrates: Corn,89.5,3.2,13.3,,10,7,2,1
Concentrates: Barley,89,3,12.5,,12.2,9,2,1
Concentrates: Pea,89.7,2.9,12.3,,25.7,21.3,2,1
Concentrates: Chickpea,90.1,3.3,13.9,,21.5,17.5,2,1
Concentrates: Sorghum,88.6,3.4,14.1,,13.7,10.4,2,1
Concentrates: Triticale,90,3.2,13.3,,12.5,9.2,2,1
By-Products: Wall-Products Of Aligue Palm ,89.3,2.78,11.62,,18.03,7.03,2,1
By-Products: Wall-Products Of Degla Palm ,84.94,2.99,12.49,,15.14,5.905,2,1
By-Products: Wall-Products Of Gondi Palm ,85.63,3.02,12.62,,12.56,4.9,2,1
By-Products: Wall-Products Of Akhwat Palm ,84.12,2.6,10.89,,12.56,4.9,2,1
By-Products: Wall-Products Of Arechti Palm ,89.2,2.31,9.64,,16.26,6.34,2,1
By-Products: Wall-Products Of Kintichi Palm ,90.92,2.33,9.74,,11.53,4.495,2,1
By-Products: Waste Of Kintichi Dates ,89.2,1.76,7.34,,3.33,1.935,2,1
By-Products: Waste Of Deglat Dates ,90.3,1.58,6.61,,4.33,2.515,2,1
By-Products: Waste Of Mnakhir Dates ,88.7,1.81,7.56,,5.07,2.945,2,1
By-Products: Waste Of Akhwat Dates ,85.7,1.58,6.6,,4.93,2.86,2,1
By-Products: Waste Of Khalt Dates ,88.5,1.67,6.98,,3.94,2.285,2,1
By-Products: Waste Of Aligue Dates ,88.3,0.86,3.58,,3.74,2.17,2,1
By-Products: Leaves Of Delglet Nour,64.8,2.37,9.9,,5.1,1.7,2,1
By-Products: Palm Leaves,90.7,1.21,5.06,,4.41,1.32,2,1
By-Products: Floral Stems Of  Delglet Nour,45.5,2.29,9.57,,3.2,1.2,2,1
By-Products: Floral Stems Of Kentah,37.7,1.78,7.45,,3.1,1.07,2,1
By-Products: Stones Of Delglet Nour,89.5,1.63,6.83,,6.4,3.1,2,1
By-Products: Stones Of Kentah,89.3,1.82,7.61,,6.6,3.04,2,1
By-Products: Pedicels,86.6,1.48,6.2,,3.19,1.12,2,1
By-Products: Pedicels Of  Delglet Nour,81.69,4.68,19.58,,5.06,1.86,2,1
By-Products: Infested Dates Of  Delglet Nour,86.82,5.99,25.06,,4.48,2.2,2,1
By-Products: Fermented Dates Of  Delglet Nour,78.11,5.94,24.85,,4.73,2.25,2,1
By-Products: Dry Date ,88.3,2.99,12.55,,2.37,1.9,2,1
By-Products: Dry Dates Of  Delglet Nour,82.88,5.46,22.84,,6.49,1.9,2,1
By-Products: Dry Allig Date,76.3,2.12,8.89,,1.99,0.995,2,1
By-Products: Burned Date Of  Delglet Nour,81.1,2.16,9.06,,2.54,1.8,2,1
By-Products: Defiled Date Of  Delglet Nour,81.1,2.31,9.67,,2.62,1.95,2,1
By-Products: Mottled Date Of  Delglet Nour,80.9,2.85,11.93,,2.52,1.67,2,1
By-Products: Fermented Date ,74.4,2.7,11.3,,2.24,1.65,2,1
By-Products: Burned Allig Date,76.6,2.16,9.06,,1.97,0.985,2,1
By-Products: Defiled Allig Date,83.7,2.31,9.67,,2.46,1.23,2,1
By-Products: Date Residues,70.6,2.6,10.88,,2.35,1.75,2,1
